"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"Työllisyyden edistäminen","null","null","Ei","null","null","null","Konha/Työllisyys, maahanmuutto ja hyvinvointi","1657","Työvoimahautomot","2019-08-31","Turun seudun työvoimahautomot välittää tietoa avoimista työ- ja koulutuspaikoista kaikille uutta työtä tai uraa etsiville Turun ja lähikuntien asukkaille. \r\n\r\nTyöpaikkoja ja koulutuksia voi selata Työvoimahautomoiden nettisivuilla kirjautumatta. Kun palveluun tekee työnhakijaprofiilin, näkee, miten hyvin oma osaaminen sopii avoimiin työtehtäviin. ”Mätsiprosentin” saa sekä Työvoimahautomoissa haussa oleviin työpaikkoihin että TE-palveluiden sivuilta tuotuihin työpaikkailmoituksiin. \r\n\r\nTyönantajaprofiilin luoneet yritykset voivat ilmoittaa avoimista työpaikoista Työvoimahautomoissa maksutta. Näihin työpaikkoihin työnhakija voi hakea kätevästi profiilillaan – erillisiä työhakemuksia ei tarvita. Työnantaja näkee työpaikkaa hakeneet työnhakijat määritettyjen osaamiskriteereiden mukaisessa sopivuusjärjestyksessä. \r\n\r\nTyönhakija voi käyttää palvelua myös Tiitus-mobiilisovelluksella valitsemalla toimialueeksi Työvoimahautomot. Työnhaku onnistuu siis helposti missä ja milloin vain.\r\n\r\nKirjautuneet yritykset voivat etsiä sopivaa osaajaa työnhakijoiden joukosta Haavi-osaajahaulla myös ilman työpaikkailmoituksen julkaisemista. Työnhakija voi itse päättää, onko profiili yritysten löydettävissä. Jos työnhakijan osaaminen vastaa yrityksen tarvetta, voi yritys laittaa työnhakijalle kontaktipyynnön.\r\n\r\nTyovoimahautomot.fi-sivustolla on myös tietoa erityisesti työttömille työnhakijoille suunnatuista koulutuksista, joilla omaa osaamista voi kasvattaa helposti ja nopeasti. \r\n\r\nTurun seudun työvoimahautomoita kehitetään Euroopan sosiaalirahaston osittain rahoittamana hankkeena. Hanketta koordinoi Turun kaupungin Työllisyyspalvelukeskus. Kumppaneita ovat Masku, Mynämäki, Nousiainen, Paimio, Raisio, Rusko, Sauvo, Turun Aikuiskoulutuskeskus, Raision seudun koulutuskuntayhtymä sekä Turku Science Park. Tekninen toimittaja on Tiitus Group Oy. \r\n\r\nTurun seudun työvoimahautomot on yhteistyöverkosto, jonka päätavoite on auttaa yrityksiä löytämään osaavaa työvoimaa ja työnhakijoita löytämään itselleen sopivia työmahdollisuuksia. Tarpeen mukaan osaamista kasvatetaan koulutuksen avulla. Työvoimahautomoiden palvelut ovat maksuttomia ja ne on suunnattu kaikille työnhakijoille ja työvoimaa etsiville yrityksille.\r\n\r\nLisätietoja: http://www.tyovoimahautomot.fi. ","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"VaPa: Digitaalisten medioiden hyödyntäminen","2017-12-05","Aktiivista elämäntapaa edistävät palvelut kohdennetaan hyödyntämällä paremmin asiakas- ja asukastietoa","Ei","Omistaja£Oma organisaatio|Ohjausryhmä£Oma organisaatio|Työryhmä£Oma organisaatio|Liikuntapaikkaosasto£Oma organisaatio|Liikuntapalvelut johtoryhmä£Oma organisaatio|Liikuntapalvelut varaustoimisto ja asiakaspalvelu£Oma organisaatio|Liikuntapaikkojen asiakkaat£Kolmas sektori|Yksityiset asiakkaat£Asiakas tai asukas|IT-osasto£Palvelun tai tavaran toimittaja|Olemassa olevat asiakastiedon hallinta- ja keruujärjestelmät£Palvelun tai tavaran toimittaja","null","null","Vapa/Liikuntapalvelut","1664","Asiakastietojen keruu","null","Turun kaupungin liikuntapalveluissa seurataan monin eri tavoin liikuntapaikkojen käyttöä. Kävijätietoa saadaan oheistietona liikuntapaikkojen varausten yhteydessä. Kassan kautta kuljettaessa kävijämäärät tallentuvat kassan tietojärjestelmiin. Lisäksi joillain liikuntapaikoilla henkilökunta seuraa ja tilastoi tilojen käyttöä. Usein liikuntapaikkojen käytöstä saadaan kuitenkin tietoa vain vähän tai ei lainkaan, ja olemassa olevat tiedot ovat eri järjestelmissä. Liikuntapaikkaverkoston käsittäessä satoja liikuntapaikkoja, on nykyi-sillä resursseilla mahdotonta tarkastella ja tilastoida esimerkiksi vapaassa käytössä olevien liikuntapaikkojen käyttöä ja asiakasmääriä. Digitaalisten mahdollisuuksien kasvaessa liikuntapalveluissa pyritään keräämään digitaalisia asiakastietoja ja kävijämääriä nykyistä laajemmin ja tarkemmin.\r\n\r\nProjektin myötä tulemme tietämään tarkemmin ja laajemmin liikuntapaikkojen käytöstä ja käyttäjistä. Voimme tehostaa liikuntapaikkojen käyttöasteita, myöntää kohdennetumpia vuoroja eri tarpeisiin ja tar-kastella kriittisemmin olemassa olevaa liikuntapaikkaverkostoa. Vuonna 2018 projektissa tehtiin tilannekatsaus ja muodostettiin asiakastietojen keruun kehittämiseen tähtäävä kokonaisvaltainen suunnitelma. Vuonna 2019 tavoitteena on kerätä asiakastietoa mahdollisimman yhtenäisesti ja tarkasti useammasta liikuntapaikasta kuin ennen. Tavoitteena on myös viedä asiakas- ja kävijämäärätiedot suoraan kaupungin yhteiseen tietopankkiin, jonka jälkeen tietoja voidaan tarkastella ja vertailla huomattavasti aiempaa helpommin.\r\n\r\nProjektissa on kartoitettu, miten eri liikuntapaikkojen käyttöä seurataan. Lisäksi projektissa on tartuttu käyttäjäryhmien täsmällisempään määrittelyyn sekä liikuntatilojen kapasiteettien laskemiseen ja tietojen siirtämiseen yhteiseen datapankkiin. Projektissa testataan uusia tapoja, joilla kerätään tietoa kävijämääristä. Projektin tuotokset tulevat olemaan käytännössä työvälineitä konkreettisempien toimenpiteiden, kuten vuoronjaon tai liikuntapaikkaverkoston tehostamiseksi. Projektin tuotosten vaikuttavuutta arvioidaan laskemalla, kuinka suuri osa liikuntapaikoista on pystytty täyttämään ennen asiakastietojen keruutapojen tarkentamista ja kuinka suuri osa asiakastietojen keräämisen ja hyödyntämisen jälkeen. Tämä laskenta toteutetaan vertailukelpoisella tavalla. Lisäksi vaikuttavuutta arvioidaan selvittämällä uusien laskentatapojen konkreettista käytettävyyttä ja hyödynnettävyyttä työntekijöiden arjessa.\r\n","null","null","Aktiivinen turkulainen"
"Vapa: Kansalaistaidot ja saavutettavuus","2017-03-23","Osallisuutta lisätään ottamalla se osaksi suunnittelua, toteuttamista ja päätöksentekoa","Ei","Ulkoinen£Asiakas tai asukas|Ulkoinen£Kolmas sektori|Sisäinen£Kaupunki, kunta tai seutukunta|Ulkoinen£Korkeakoulu tai oppilaitos|Sisäinen£Oma organisaatio|Ulkoinen£Media","null","null","Vapa/Museopalvelut","1666","Vuorovaikutussuunnitelman jalkauttaminen ja henkilökunnan osaamisen kehittäminen","2019-12-31","Vuorovaikutuskartoitus valmistui vuonna 2017. Nykytilan kartoitukseen osallistui museokeskuksen henkilökunta. Vuorovaikutussuunnitelmaa on jatkotyöstetty henkilökunnalle järjestettävissä koulutustilaisuuksissa. \r\n\r\nTavoitteena on lisätä henkilökunnan valmiutta ja osaamista kaupunkilaisten osallistamiseen palveluiden suunnittelussa ja toteutuksessa. Kaupunkilaisten osallisuuden mahdollisuudet lisääntyvät ja uudenlaiset yhteistyön muodot löytyvät ja palvelut kehittyvät. Pitkän aikavälin tavoitteena on koetun hyvinvoinnin kasvu. \r\n\r\nVuorovaikutussuunnitelma on valmistunut ja hyväksytty loppuvuonna 2018. Se jalkautetaan henkilökunnalle vuoden 2019 aikana henkilöstökokouksissa ja yksikköjen kokouksissa sekä koulutustilaisuuksien kautta. Tilaisuuksissa käsitellään vuorovaikutus- ja osallisuustyön mahdollisuuksia ja menetelmiä sekä niiden hyödyntämistä osana omaa arkityötä. ","Asukas-, asiakas- ja henkilöstötarve","null","Aktiivinen turkulainen"
"null","2016-06-09","Turkua kehitetään merkittävänä matkailu-, kongressi- ja tapahtumakaupunkina","Ei","null","null","null","Vapa/Museopalvelut","1667","Luostarinmäen kehittämishanke","2021-12-31","Luostarinmäki on Turun ainoa yhtenäinen puutaloalue, joka säilyi vuoden 1827 palosta. Yli 200 vuotta vanhat rakennukset sijaitsevat alkuperäisillä paikoillaan. Turun historian kannalta arvokkaan rakennuskannan säilyttämiseksi alueesta tehtiin vuonna 1940 ulkoilmamuseo, johon talletettiin teollistumisen myötä häviäviä turkulaisia käsityöalan verstaita. Tarkoituksena oli pitää käsityöläisyyttä elävänä työnäytösten avulla. Verstaitten lisäksi museoon sisustettiin koti-interiöörejä kertomaan 1800-luvun elämäntavasta ja asumisesta.\r\n\r\nLuostarinmäellä käynnistettiin vuonna 2018 kehittämishanke, jonka tavoitteena on uudistaa museokonseptia moderneja asiakasvaatimuksia vastaavaksi, lisätä kävijämääriä, vahvistaa Turun kaupungin matkailullista kokonaisvetovoimaa ja kaupunkibrändiä. Uudistunut museo avataan kesäkaudelle 2021. Toimipaikkojen jatkuva kehittäminen on osa Turun museokeskuksen strategiaa. \r\n\r\nHankkeen aikana Luostarinmäelle suunnitellaan uusi konsepti, johon kuluu tilojen, näyttelyiden, toiminnan, palveluiden, opasteiden, valaistuksen ja ilmeen päivittäminen historialliseen ympäristöön sopivalla tavalla. Uudistetun museon sisällöissä keskeisintä on alue ja sen rakennukset, sekä mäen koko elinkaari ja siellä asuneiden ihmisten tarinat ja arki. Museossa tuodaan esille käsityöläisammatteja osana kaupungin historiaa sekä käsin tekemistä osana arkea. Kohtaamiset ja läsnäolo yleisötyössä ovat Luostarinmäelle tärkeitä unohtamatta uuden tekniikan tuomia mahdollisuuksia. Hankkeessa pohditaan keinoja lisätä vuorovaikutuksellisuutta ja itse tekemistä. Lopputuloksena on sopivasti uudistunut, Turun palosta säilynyt pieni autenttinen kortteli, joka jatkaa elämää ja toimintaa nykyajassakin.\r\n","Asukas-, asiakas- ja henkilöstötarve","null","Yrittävä ja osaava Turku"
"Turun Tiedepuisto","2017-12-11","Turun asemaa Suomen vetovoimaisimpana yliopisto- ja opiskelijakaupunkina vahvistetaan","Kyllä","Oxfordin yliopisto£Korkeakoulu tai oppilaitos|Tampereen yliopisto£Korkeakoulu tai oppilaitos|Austin£Kansainvälinen kumppani|Berliini£Kansainvälinen kumppani|Amsterdam£Kansainvälinen kumppani|Kööpenhamina£Kansainvälinen kumppani|Tampereen kaupunki£Kaupunki, kunta tai seutukunta","null","19000.0","Konha/Kaupunkisuunnittelu","1674","KTO / The Meaningful City -tutkimushanke","null","Tutkimus lisää ymmärrystä merkityksellisyyden rakentumisesta kaupunkikontekstissa. Lisäksi se  tuottaa mallin, jota voidaan soveltaa kampus- ja tiedepuistoalueen merkityksen luomisessa. (kuvausta päivitetään)","Mahdollistava (yhteistyö, rahoitus jne)","null","Yrittävä ja osaava Turku"
"null","2017-05-18","Henkilöstön osaaminen pidetään kehityksen kärjessä systemaattisella osaamisen johtamisella ja laajaan verkostoitumiseen kannustamalla","Ei","null","null","128000.0","Sito/Varhaiskasvatus","1687","Tallimäen päiväkodin oppimisympäristöjen kehittäminen","2020-04-22","Kakolan juureen Tallimäkeen rakennetaan uusi päiväkoti. Tavoitteena on rakentaa päiväkodista innovatiivinen oppimisympäristö, joka muuntuu eri tarkoituksiin ja aktivoi sekä osallistaa käyttäjiä. Niin lapset kuin heidän vanhempansa on otettu projektin alusta saakka mukaan oppimisympäristöjen suunnitteluun.\r\n\r\nPäiväkodissa keskitytään liikunnallisten, toiminnallisten ja muiden lasten osallisuutta lisäävien ratkaisujen kehittämiseen. Projektin myötä päiväkotiin pyritään tuomaan varhaiskasvatussuunnitelmaa tukevia tietoteknisiä ja muita ratkaisuja. Tilat on suunnitteltu monikäyttöisiksi ja muuntautumiskykyisiksi. \r\n\r\nProjekti hyötytavoitteena on kehitettyjen hyvien käytäntöjen ja toimintamallien levittäminen koko varhaiskasvatuksen ja alueellisen yhteistyöverkoston käyttöön.","Mahdollistava (yhteistyö, rahoitus jne)","null","Osaava ja oppiva turkulainen"
"Tämä on hanke","2017-05-18","Kaupungin perustoimintaa tuetaan parantamalla tukipalvelujen laatua ja kustannustehokkuutta","Ei","null","null","60000.0","Konha/Strategia ja kehittäminen","1693","Tietohallintostrategian toimeenpano","2020-06-26","Uuden tietohallintostrategian sisältö pohjautuu IT-palvelujen asiakkailta ja \r\nhenkilöstöltä kerättyyn palautteeseen sekä tietohallinnon riskianalyysiin. \r\nKehittämisodotukset tiivistyvät parempaan johtamiseen, joka tarkoittaa selkeitä tavoitteita, rooleja ja vastuita, hyvin määriteltyjä yhdenmukaisia prosesseja, laadukasta esimiestyötä ja viestintää sekä tietoon perustuvaa läpinäkyvää päätöksentekoa.\r\n \r\nKaupungin IT-palvelujen kehittämisvisio tiivistyy kuuteen tavoitteeseen. Visio kuvaa miten IT-palvelujen tulee toimia, jotta toiminta parhaiten vastaa asiakkaiden ja henkilöstön odotuksia sekä kaupungin strategisia päämääriä.\r\n\r\nTietohallintostrategian toimeenpano -hankkeessa on kuusi strategiaa toteuttavaa projektia:\r\n\r\n1.Toimintamme on avointa ja läpinäkyvää: Teemme kustannusrakenteesta ja palvelujen hinnoittelusta täysin läpinäkyvää. Laadimme viestintäsuunnitelman ja ryhdymme toteuttamaan sitä johdonmukaisesti.\r\n\r\n2.Olemme haluttu kehittämiskumppani toimialoilla ja konserniyhteisöissä: Otamme käyttöön ja viestimme selkeät kehittämistä ohjaavat kokonaisarkkitehtuuriperiaatteet. Vahvistamme kumppanuuspäälliköiden roolia kehittämistoiminnassa, yhtenäistämme toimintatavat ja kasvatamme toimialaosaamista. Varmistamme riittävän hanke- ja projektipäälliköiden resursoinnin. Ryhdymme tarjoamaan toimintaprosessien uudistamiseen liittyvää tukea ja kasvatamme systemaattisesti tähän liittyvää osaamista. Keskitymme kokonaisuuksien hallintaan ja kasvattamaan laaja-alaista toiminnan kehittämistä tukevaa osaamista. Olemme edelläkävijöitä uusien teknologioiden ja ratkaisujen soveltamisessa julkishallinnossa.\r\n\r\n3.Keskitymme rajoittamisen sijasta mahdollistamiseen: Emme piiloudu sääntöjen taakse, vaan etsimme aktiivisesti asiakkaiden kanssa parasta ratkaisua huomioiden kaupungin kokonaisedun. Luomme asiakkaillemme edellytykset käyttää työtehtäviinsä parhaiten sopivia päätelaitteita.\r\n\r\n4.Toteutamme parempaa tietoon perustuvaa johtamista: Annamme toiminnalle selkeän suunnan ja seuraamme tavoitteiden saavuttamista säännöllisesti. Seuraamme ja arvioimme toimintaa ja taloutta säännöllisesti sovittujen mittarien avulla ja korjaamme tarvittaessa suuntaa. Selkeytetään organisointia niin että jokainen tuntee organisaation toimintaperiaatteet ja ymmärtää oman tehtävänsä organisaation osana. Päätöksentekomme on läpinäkyvää, johdonmukaista ja oikeudenmukaista. Esimiehinä tärkein tehtävämme on luoda olosuhteet, joissa työntekijöiden on hyvä tehdä töitään.\r\n\r\n5.Palvelumme ovat joustavia, nopeita ja luotettavia: Yhdenmukaistamme ja tehostamme palvelutuotannon prosesseja. Helpotamme palvelutuotannon kannalta keskeisen tiedon löytymistä. Parannamme palvelutuotantoon liittyvää viestintää. Nopeutamme ongelmatilanteisiin reagointia ja niistä toipumista. Turvaamme toiminnan jatkuvuuden osaamista hajauttamalla. Etsimme jatkuvasti keinoja parantaa toimintamme kustannustehokkuutta.\r\n\r\n6.Vauhditamme toiminnan uudistamista strategisilla kumppanuuksilla ja uusilla hankintamalleilla: Otamme käyttöön strategisiin kumppanuuksiin perustuvia hankintamalleja, jotka mahdollistavat innovoinnin ja ratkaisujen koko elinkaaren hallinnan. Määritämme yhtenäiset laatuvaatimukset, joita käytetään johdonmukaisesti kaikissa IT-hankinnoissa. Seuraamme aktiivisesti sopimusten toteutumista ja puutumme poikkeamiin viipymättä. Hajautamme toimittajariskejä.\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Vaikuttava ja uudistuva Turku"
"DiPaKe 2018-2019","2017-11-21","Kaupungin perustoimintaa tuetaan parantamalla tukipalvelujen laatua ja kustannustehokkuutta","Ei","Kuntalaiset£Asiakas tai asukas|Yritykset£Palvelun tai tavaran toimittaja|Yhdistykset£Kolmas sektori|Suomi.fi-viestit£Valtionhallinto","null","240000.0","Konha/Hallintoryhmä","1723","Suomi.fi-viestit palveluun liittyminen","null","Suomi.fi-viestien myötä asukas voi valita haluaako viranomaisilta, esimerkiksi kaupunki, Trafi, verohallitus, viestit sähköisesti tai paperilla. Valitessaan sähköisen vaihtoehdon kaikki viranomaisviestit ohjautuvat suomi.fi-viestit-palveluun. \r\n\r\nJotta kaupungin tekemät päätökset päätyvät oikeaan paikkaan, Turun kaupunki rakentaa ensimmäisessä vaiheessa rajapinnan asianhallintajärjestelmään, myöhemmin muut päätöksiä käsittelevät järjestelmät, esimerkiksi päivähoitohakemusten osalta, kehitetään myös samaan suuntaan.\r\n\r\nLaki sähköisen asioinnin tukipalveluista määrittää, että julkishallinnon pitää tarjota ja käyttää kansallisesti yhtenäistä tapaa viranomaisten kanssa viestimiseen, minkä suomi.fi-viestit toteuttaa.\r\n","Pakottava ulkoinen (lakimuutos jne)","null","Vaikuttava ja uudistuva Turku"
"Pysäköintitoiminnan kehittäminen","2017-10-01","Sujuvaa ja turvallista arkea tuetaan hyvällä kaupunkiympäristöllä ja palveluilla","Ei","null","null","1150000.0","Kyto/Luvat ja valvonta","1726","Pysäköintiautomaattien uusiminen ja mobiilimaksamisen kehittäminen","2020-12-31","Suuri osa nykyisistä pysäköintimittareista on tullut elinkaarensa päähän. Mobiilimaksamisen lisääntymisen myötä pysäköintimittarien tarve on myös vähentynyt. Tämän vuoksi mittariverkoston karsimista tulee pohtia uudistuksen yhteydessä. Kolikko- ja mobiilimaksamisen rinnalle on paljon toivottu mahdollisuutta maksaa pysäköinnistä pankkikorteilla ja vastaavilla.\r\n\r\nProjektin tavoitteena on pysäköinnin palvelun laadun parantaminen: mittarien toimintavarmuus paranee maksutapoja tulee lisää, pysäköintimaksun voi suorittaa vyöhykkeen sisällä millä tahansa automaatilla. Digitaaliset pysäköintimittarit mahdollistavat myös tulevaisuudessa tehokkaamman valvonnan.\r\n\r\nLisähyötynä saadaan parempi rahaliikenteen seurattavuus sekä mittarien liittäminen digitaaliseen toimintaympäristöön, jolloin saatua pysäköintidataa voidaan hyödyntää monellakin eri tavalla.\r\n\r\nVanhentuneiden mittarien kanssa lähtökohtana on mittarien uusimistarpeen kartoitus suhteessa muihin kehittämis- ja kunnostusprojekteihin. Myös pysäköintimittariverkoston kattavuus tulee kartoittaa huomioiden mobiilimaksujen merkittävä lisääntyminen.\r\n\r\nTarpeen kartoituksen jälkeen käynnistetään kilpailutus ja aletaan vaiheittain uusia katujen varsilla olevia mittareita sekä tarpeen mukaan uudelleensijoittaa niitä ja karsia niiden määrää. Loppukäyttäjälle projektin tuotos näyttäytyy parempana ja varmempana pysäköintikokemuksena niin laitteiden toimivuuden kuin erilaisten maksuvaihtoehtojen kautta. Sisäisesti uudet mittarit antavat paremmat työvälineet seurata rahaliikennettä sekä yleisesti mittarien käyttöprosentteja, jota voidaan käyttää pohjana pysäköinnin yleisessä kehittämisessä.","Muu","null","Rakentuva kaupunki ja ympäristö"
"Pysäköintitoiminnan kehittäminen","2017-10-01","Parempaa johtamista ja päätöksentekoa tuetaan tiedonhallintaa parantamalla","Ei","null","null","141000.0","Kyto/Luvat ja valvonta","1728","Pysäköinninvalvonnan järjestelmän uusiminen/kehittäminen","2021-01-01","Pysäköinninvalvonta on muun yhteiskunnan mukana siirtymässä yhä digitaalisempaan suuntaan. Nykyinen valvonnan käytössä oleva järjestelmä on osin hyvin vanhaa teknologiaa, johon tuki loppuu kokonaan lähivuosina. Uudemmat järjestelmän osat puolestaan keskustelevat hyvin huonosti vanhakantaisen teknologian kanssa. Nämä kaikki vaikuttavat yhdessä toiminnan tehokkuuteen sekä palvelun laatuun.\r\n\r\nJärjestelmän uusimisen tavoitteena on kokonaisuuden parempi ja vakaampi toiminta, käsin tehtävien rutiinitöiden automatisointi sekä työn yleinen tehostaminen. Teknologian luomien esteiden poistamisen hyötynä on valvonnan laadun paraneminen sekä parempi asiakaspalvelu.\r\n\r\nProjekti aloitetaan tarpeiden ja mahdollisuuksien kartoittamisella sekä näiden kriittisellä analysoinnilla. Tämän jälkeen kartoitetaan eri palvelutarjoajat, heidän järjestelmiensä kokonaisvaltaisuus ja/tai mahdollinen yhteentoimivuus muiden kyseisen sektorin palveluita tuottavien tarjoajien järjestelmien kanssa. Tätä kautta luodaan kokonaiskuva mahdollisuuksista.\r\n\r\nRajaehtojen asettamisen jälkeen järjestelmästä tai järjestelmistä käynnistetään tarjouskilpailu huomioiden nykyisellään tarjolla olevat tuotteet sekä niiden tarjoajien mahdollisuudet kehittää tuotettaan Turun kaupungin pysäköinninvalvonnan tarpeiden mukaiseksi.","Muu","null","Vaikuttava ja uudistuva Turku"
"Tämä on hanke","2018-05-14","Parempaa johtamista ja päätöksentekoa tuetaan tiedonhallintaa parantamalla","Kyllä","Turun Yliopisto£Korkeakoulu tai oppilaitos|Kaupungin toimialat£Oma organisaatio","Elinkeinoelämä ja liiketoiminta|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","813878.0","Konha/Strategia ja kehittäminen","1741","Smart and Wise Turku","2021-12-31","Smart and Wise Turku on kaupungin kärkihanke, jossa yhdistyvät strateginen tavoite seudullisesta hiilineutraaliudesta vuonna 2040 ja Smart City -konsepti. Saavutetuilla tuloksilla edistetään kaupunkilaisten hyvinvointia, kaupungin kilpailukykyä ja oman toiminnan tuottavuutta. \r\n\r\nKeskeisenä mahdollistajana toimii digitalisaatio ja sen synnyttämä data. Digitalisaatio mahdollistaa ajasta ja paikasta riippumattomien palvelujen tuottamisen ja kaupungin oman toiminnan tuottavuuden parantamisen (Smart City).\r\n\r\nLuomalla kaupunkilaisille ja yrityksille edellytykset hyödyntää dataa kaupunki mahdollistaa hyvinvointia tukevan taloudellisesti, sosiaalisesti ja ympäristöllisesti kestävän kasvun (Wise City).\r\n\r\nKaupungin strategisena tavoitteena on edetä ilmasto- ja ympäristöpolitiikan toimenpiteillä kohti kaupunkiseudun hiilineutraaliutta vuonna 2029. Smart and Wise Turku -hankkeen luomien uusien toimintamallien avulla tavoitteen saavuttaminen helpottuu.\r\n \r\nHankkeessa on kuusi painopistealuetta, jotka ovat hiilineutraalius ja resurssiviisaus, palvelujen ohjaus ja digitaaliset palvelut, turvallisuus, kaupunkisuunnittelu,  liikenne ja liikkuminen sekä syrjäytymisen ehkäiseminen.\r\n\r\nhttps://www.turku.fi/smartandwise\r\n\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Vaikuttava ja uudistuva Turku"
"Sito/Ammatillisen koulutuksen reformi","2018-04-01","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","null","Koulutus ja päivähoito","187230.0","Sivistystoimiala","1758","Avoimet ammatilliset opinnot","2020-07-31","AAVA - Avoin väylä ammattiin -projektissa kehitettiin vuosina 2015 - 2018 Avoimet ammatilliset opinnot -palvelu. \r\n\r\nPalvelu tarjoaa kenelle tahansa vaihtoehtoisen ja joustavan tavan hankkia osaamista eri oppilaitosten avointen opintojen tarjontaa hyödyntäen. Opiskelu tapahtuu verkossa itsenäisesti tai opettajan johdolla.﻿\r\n\r\nAvoimet ammatilliset opinnot -projektin tavoitteena on selvittää, mitä palvelun valtakunnallinen käyttöönotto edellyttää. Projektin aikana palvelua testataan ammatillisten oppilaitosten laajassa kumppanuusverkostossa.\r\n\r\nProjektin keskeiset toimenpiteet ovat Avoimet ammatilliset opinnot -palvelun\r\n- käyttöönoton testaaminen ja laajentaminen\r\n- kehittäminen siten, että yhteisten ja ammatillisten tutkinnon osien opintokokonaisuuksien suorittaminen on mahdollista\r\n- käyttöönottoa tukevien toimintamallien ja yhteistyömuotojen kehittäminen sujuvien siirtymien mahdollistamiseksi\r\n- vaikuttavuuden ja laajan valtakunnallisen käyttöönoton edellytysten arviointi\r\n- valtakunnallinen markkinointi ja levittäminen\r\n\r\nProjektin tuloksena\r\n- saadaan tietoa palvelun laajan käyttöönoton edellytyksistä ja sitä tukevista toimintatavoista \r\n- palvelun tuottajaverkosto laajenee ja palvelukonsepti kehittyy pilottiorganisaatioilta ja kohderyhmältä saatavan palautteen pohjalta\r\n- nuorilla ja aikuisilla eri puolilla Suomea on entistä paremmat mahdollisuudet hankkia opinnoissa ja työelämässä tarvittavaa osaamista joustavasti avoimia opintoja suorittamalla ja siirtyä sujuvasti omalla opintopolullaan eteenpäin\r\n- oppilaitoksilla on käytössään monipuolisemmat keinot tukea tutkinnon suorittajien henkilökohtaistamista ja yksilöllisten opintopolkujen toteuttamista käytännössä\r\n\r\nProjekti toteutetaan verkostohankkeena, jossa Turun kaupungin lisäksi ovat mukana Koulutuskeskus Salpaus -kuntayhtymä, Länsirannikon Koulutus Oy WinNova, Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopisto, Pohjois-Karjalan koulutuskuntayhtymä, Salon seudun koulutuskuntayhtymä / Salon seudun ammattiopisto ja Vantaan kaupunki / Vantaan ammattiopisto Varia. Projektin rahoittaa Euroopan sosiaalirahasto, Pohjois-Pohjanmaan ELY-keskus ja toteuttajaorganisaatiot.\r\n\r\nTutustu palveluun:\r\nwww.aavo.fi \r\n","null","Aikuiset|Maahanmuuttajat|Nuoret|Työnhakijat|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Vaikuttava ja uudistuva Turku"
"Sito/Ammatillisen koulutuksen reformi","2018-03-27","Turun alueen kilpailukyvyn ja työllisyyden kasvua vauhditetaan alueellisia elinkeino- ja innovaatiopalveluja uudistamalla","Ei","null","null","197009.0","Sito/Ammatillinen koulutus","1759","Live - Lisää vetovoimaa","2020-10-31","Lounais-Suomen positiivinen rakennemuutos näkyy selkeästi työllisyyskehityksessä, mutta samaan aikaan teollisuuden koulutusalat kärsivät heikosta vetovoimasta. Ratkaisua etsitään uusista toimintamalleista ja käytännöstä. \r\n\r\nTarkoituksena on nuorten avulla, nuorten näkökulmasta ja nuorten toimintatavoin markkinoida opiskelualoja ja lisätä vetovoimaisuutta tekniikan aloille. Tavoitteena on lisätä nuorten ja heidän vanhempiensa tietoisuutta tekniikan koulutusaloista sekä jatkokoulutusmahdollisuuksista, sekä lisätä toisen asteen opinnoissa olevien opiskelijoiden tietoisuutta teollisuuden tarjoamista työllistymis- ja jatko-opintomahdollisuuksista.\r\n\r\nProjektin kohderyhmänä ovat yläkouluikäiset nuoret, toisen asteen opiskelijat, sekä opetus- ja ohjaushenkilöstö peruskoulussa ja toisella asteella.\r\n \r\nLounais-Suomessa ja Satakunnassa projektiin osallistuu yhdeksän ammatillista oppilaitosta, Turussa Turun ammatti-instituutti, sekä Koneteknologiakeskus. Projektia rahoittaa Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus. \r\n\r\n","Muu","null","Yrittävä ja osaava Turku"
