,Hanke,AlkuPvm,Karkihanke,MenotYhteensa,Organisaatio,Projekti,LoppuPvm,Kehittamistarve,StrateginenOhjelmaYlempi
20,KYTO digitalisaatio,2017-10-23,Ei,145000.0,Kaupunkiympäristötoimiala,DigiKYTO vaihe 1: Asemakaavoituksesta tontinluovutukseen,2021-05-31,Muu,Vaikuttava ja uudistuva Turku
22,Smart and Wise Turku/Kaupunkisuunnittelu,2019-05-27,Kyllä,640609.0,Kyto/Kaupunkisuunnittelu ja maaomaisuus,"CANEMURE, Vähähiiliset ratkaisut kaupunkisuunnittelulla",2024-10-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Rakentuva kaupunki ja ympäristö
23,Vapa: Kumppanuudet,2017-04-12,Ei,815.9100000000002,Vapa/Museopalvelut,Yliopistoyhteistyön toimintamallin kehittäminen,2019-12-31,"Mahdollistava (yhteistyö, rahoitus jne)",Osaava ja oppiva turkulainen
24,Vapa: Kumppanuudet,2016-12-31,Ei,18626.0,Vapa/Nuorisopalvelut,Kirjasto-ja nuorisopalveluiden yhteistoiminnan kehittäminen monitoimitiloissa,2021-04-30,"Velvoittava sisäinen (kv-, kh-, lautakuntapäätös, organisaatiomuutos, operatiivinen)",Aktiivinen turkulainen
29,Turun Tiedepuisto,2017-12-11,Kyllä,19000.0,Konha/Kaupunkisuunnittelu,KTO / The Meaningful City -tutkimushanke,,"Mahdollistava (yhteistyö, rahoitus jne)",Yrittävä ja osaava Turku
32,DiPaKe 2018-2019,2017-11-21,Ei,240000.0,Konha/Hallintoryhmä,Suomi.fi-viestit palveluun liittyminen,,Pakottava ulkoinen (lakimuutos jne),Vaikuttava ja uudistuva Turku
33,Pysäköintitoiminnan kehittäminen,2017-10-01,Ei,1150000.0,Kyto/Luvat ja valvonta,Pysäköintiautomaattien uusiminen ja mobiilimaksamisen kehittäminen,2020-12-31,Muu,Rakentuva kaupunki ja ympäristö
34,Pysäköintitoiminnan kehittäminen,2017-10-01,Ei,141000.0,Kyto/Luvat ja valvonta,Pysäköinninvalvonnan järjestelmän uusiminen/kehittäminen,2021-01-01,Muu,Vaikuttava ja uudistuva Turku
36,Sito/Ammatillisen koulutuksen reformi,2018-04-01,Ei,187230.0,Sivistystoimiala,Avoimet ammatilliset opinnot,2020-07-31,,Vaikuttava ja uudistuva Turku
37,Sito/Ammatillisen koulutuksen reformi,2018-03-27,Ei,197009.0,Sito/Ammatillinen koulutus,Live - Lisää vetovoimaa,2020-10-31,Muu,Yrittävä ja osaava Turku
42,VaPa: Digitaalisten medioiden hyödyntäminen,2017-10-02,Ei,41500.0,Vapa/Kirjastopalvelut,Paikannus ja suosittelu (Näkymätön näkyväksi),2020-08-31,,Vaikuttava ja uudistuva Turku
43,Sito/STEAM Turku,2018-05-01,Ei,275990.0,Sivistystoimiala,Robotiikasta resilienssiä ja elinvoimaa (ROBOREEL),2021-03-31,,Osaava ja oppiva turkulainen
44,Sito/Ammatillisen koulutuksen reformi,2017-12-12,Ei,710000.0,Sivistystoimiala,HYVÄ PORE,2019-12-31,"Mahdollistava (yhteistyö, rahoitus jne)",Yrittävä ja osaava Turku
45,Sito/Ammatillisen koulutuksen reformi,2017-12-19,Ei,133785.0,Sito/Ammatillinen koulutus,"HOI! – Hyvinvointia, osallisuutta ja intoa ammatilliseen koulutukseen",2020-12-31,"Mahdollistava (yhteistyö, rahoitus jne)",Osaava ja oppiva turkulainen
49,Smart and Wise Turku/Liikenne ja Liikkuminen,2018-04-30,Kyllä,309244.0,Kyto/Kaupunkisuunnittelu ja maaomaisuus,6Aika/Citylogistiikan uudet ratkaisut,2020-12-31,,Yrittävä ja osaava Turku
53,Sito/STEAM Turku,2018-10-01,Ei,261020.0,Sito/Lukiokoulutus,Lukion työelämäkumppanit,2021-07-31,"Mahdollistava (yhteistyö, rahoitus jne)",Osaava ja oppiva turkulainen
55,Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus,2018-03-01,Kyllä,60000.0,Konha/Kaupunkisuunnittelu,Kuntalaisten energiakäänne,2019-02-28,Kaupunkistrategia 2029 ja strategiset ohjelmat,Rakentuva kaupunki ja ympäristö
56,Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus,2019-09-04,Kyllä,112100.0,Konha/Kaupunkisuunnittelu,Resurssiviisauden tiekartta,2021-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
58,Sito/STEAM Turku,2018-06-05,Ei,153800.0,Sito/Varhaiskasvatus,"Digiä, liikettä ja ilmiöitä",2020-12-31,"Mahdollistava (yhteistyö, rahoitus jne)",Terve ja hyvinvoiva turkulainen
61,DiPaKe 2018-2019,2018-08-22,Ei,350000.0,Konsernihallinto,Saavutettavuuslain vaatimusten toteuttaminen,,Pakottava ulkoinen (lakimuutos jne),Aktiivinen turkulainen
62,Vapa: Kansalaistaidot ja saavutettavuus,2018-10-30,Ei,96156.0,Vapa/Kirjastopalvelut,Lukemattomat mahdollisuudet,,Kaupunkistrategia 2029 ja strategiset ohjelmat,Aktiivinen turkulainen
64,Pysäköintitoiminnan kehittäminen,2018-09-17,Ei,13500.0,Kyto/Luvat ja valvonta,Bodycam,2019-05-31,Muu,Vaikuttava ja uudistuva Turku
66,Kaupunkirakenne ja liikennejärjestelmä,2019-01-01,Ei,447000.0,Kyto/Kaupunkisuunnittelu ja maaomaisuus,HUPMOBILE (Satama-alueen kehittäminen),2021-09-30,Muu,Kilpailukyky ja kestävä kasvu
68,Sito/Ammatillisen koulutuksen reformi,2018-10-24,Ei,224194.0,Sito/Ammatillinen koulutus,Perusta - perustaidot hallussa,2021-12-31,,Osaava ja oppiva turkulainen
69,Smart and Wise Turku/Asiakkuuksien ja palveluiden hallinta,2018-11-01,Kyllä,11625.0,Konha/Hallintoryhmä,Asiakkuudet/PAT-tietomallin muutokset,,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
74,Vapa: Aktiivisuuden edistäminen,2018-12-03,Ei,56000.0,Vapa/Kirjastopalvelut,Omakirjasto 2. vaihe : Digitaalinen palvelutarjotin kotipalveluasiakkaille,,Kaupunkistrategia 2029 ja strategiset ohjelmat,Aktiivinen turkulainen
97,Keskustan kehittämisen kärkihanke,2018-04-28,Ei,32910.0,Konha/Kaupunkikehitysryhmä,KTO / Miltä merellinen Turku tuntuu? Tutkimus- ja konseptointiprojekti,2018-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
98,Historian museo,2019-01-01,Ei,83333.33,Konha/Kaupunkikehitysryhmä,KTO / Tie meren yli - Kulttuurinen vuorovaikutus yliopistokaupunkien Turun ja Uppsalan välillä 1640-1828,2020-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
99,Turun Tiedepuisto / Rohkean kokeileva,2019-01-01,Kyllä,83333.33,Konha/Kaupunkikehitysryhmä,KTO / Turun tiedepuisto luovien kohtaamisten laboratoriona ja vuorovaikutteisen kaupunkikulttuurin kehittäjänä,2020-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
100,Kaupunkirakenne ja liikennejärjestelmä,2019-01-01,Ei,150000.0,Konha/Kaupunkikehitysryhmä,KTO / Miksi Turkuun? Kaupunkiasumisen houkuttelevuus asukkaan näkökulmasta,2020-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
101,Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus,2019-01-01,Kyllä,41666.66,Konha/Kaupunkikehitysryhmä,"KTO / Matching Forerunner Cities : Coping with climate change in Turku, Malmö, Rostock and Groningen",2020-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
102,Smart and Wise Turku,2019-01-01,Kyllä,41666.66,Konha/Kaupunkikehitysryhmä,KTO / The Connected Urban Community (5G merkitys kaupunkikehitykselle),2020-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,
103,Smart and Wise Turku/Liikenne ja Liikkuminen,2019-03-25,Kyllä,265183.0,Kaupunkiympäristötoimiala,6Aika/Vähähiilinen liikkuminen liikennehubeissa (MobilityHub),2021-10-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
105,Turku.fi,2020-05-15,Ei,483584.0,Konha/Hallintoryhmä,"Tapahtuma-, harrastus- ja koulutuskokonaisuuden kehittäminen",2021-11-30,"Mahdollistava (yhteistyö, rahoitus jne)",Aktiivinen turkulainen
109,Smart and Wise Turku/Kaupunkisuunnittelu,2020-01-08,Kyllä,160000.0,Konha/Strategia ja kehittäminen,Ennakoiva kaupunkisuunnittelu,2021-12-23,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
110,Smart and Wise Turku/Syrjäytymisen ehkäiseminen,2019-01-28,Kyllä,6200.0,Konsernihallinto,Pilotoinnit / Muotoillaan palvelut nuorten näköisiksi,2020-12-21,Kaupunkistrategia 2029 ja strategiset ohjelmat,Terve ja hyvinvoiva turkulainen
115,Smart and Wise Turku/Syrjäytymisen ehkäiseminen,2019-01-28,Kyllä,315000.0,Konsernihallinto,Toimintamalli (ja tiedolla johtaminen),2021-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Terve ja hyvinvoiva turkulainen
116,Smart and Wise Turku/Syrjäytymisen ehkäiseminen,2019-01-28,Kyllä,534000.0,Konsernihallinto,Pilotoinnit,2021-12-31,Kaupunkistrategia 2029 ja strategiset ohjelmat,Terve ja hyvinvoiva turkulainen
117,digiTurku,2019-10-19,Ei,218687.5,Konha/Kaupunkikehitysryhmä,Palvelukartan jatkokehittäminen,,Kaupunkistrategia 2029 ja strategiset ohjelmat,Vaikuttava ja uudistuva Turku
118,digiTurku,2018-10-30,Ei,140000.0,Konha/Asiakkuudet ja osallisuus,Digitaalisen vuorovaikutuksen jatkokehittäminen,,Kaupunkistrategia 2029 ja strategiset ohjelmat,Aktiivinen turkulainen
119,digiTurku,2018-08-22,Ei,450000.0,Konsernihallinto,Saavutettavuuslain vaatimusten vakiinnuttaminen,,Pakottava ulkoinen (lakimuutos jne),Aktiivinen turkulainen
